Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,0.000007,0.000007,0.000007,0.000007,0.000007,261160667
2021-09-02,0.000007,0.000007,0.000007,0.000007,0.000007,283366175
2021-09-03,0.000007,0.000007,0.000007,0.000007,0.000007,260789327
2021-09-04,0.000007,0.000008,0.000007,0.000007,0.000007,378296266
2021-09-05,0.000007,0.000008,0.000007,0.000008,0.000008,300455633
2021-09-06,0.000008,0.000008,0.000007,0.000007,0.000007,334086564
2021-09-07,0.000007,0.000007,0.000005,0.000006,0.000006,626371078
2021-09-08,0.000006,0.000008,0.000005,0.000007,0.000007,986403280
2021-09-09,0.000007,0.000008,0.000007,0.000007,0.000007,784078100
2021-09-10,0.000007,0.000008,0.000007,0.000007,0.000007,423733163
2021-09-11,0.000007,0.000007,0.000007,0.000007,0.000007,229243568
2021-09-12,0.000007,0.000007,0.000007,0.000007,0.000007,243064232
2021-09-13,0.000007,0.000007,0.000006,0.000007,0.000007,312789256
2021-09-14,0.000007,0.000007,0.000006,0.000007,0.000007,184111151
2021-09-15,0.000007,0.000007,0.000007,0.000007,0.000007,203289266
2021-09-16,0.000007,0.000009,0.000007,0.000009,0.000009,1624140154
2021-09-17,0.000009,0.000009,0.000008,0.000008,0.000008,1663423890
2021-09-18,0.000008,0.000009,0.000008,0.000008,0.000008,495513218
2021-09-19,0.000008,0.000008,0.000007,0.000008,0.000008,572892039
2021-09-20,0.000008,0.000008,0.000007,0.000007,0.000007,586521394
2021-09-21,0.000007,0.000007,0.000007,0.000007,0.000007,382463972
2021-09-22,0.000007,0.000007,0.000007,0.000007,0.000007,280642205
2021-09-23,0.000007,0.000008,0.000007,0.000008,0.000008,370820478
2021-09-24,0.000008,0.000008,0.000007,0.000007,0.000007,456964069
2021-09-25,0.000007,0.000008,0.000007,0.000007,0.000007,227277343
2021-09-26,0.000007,0.000007,0.000007,0.000007,0.000007,257921523
2021-09-27,0.000007,0.000007,0.000007,0.000007,0.000007,207040951
2021-09-28,0.000007,0.000007,0.000007,0.000007,0.000007,229379215
2021-09-29,0.000007,0.000007,0.000007,0.000007,0.000007,193035725
2021-09-30,0.000007,0.000007,0.000007,0.000007,0.000007,308553065
2021-10-01,0.000007,0.000008,0.000007,0.000008,0.000008,316837935
2021-10-02,0.000008,0.000008,0.000007,0.000008,0.000008,320232218
2021-10-03,0.000008,0.000009,0.000008,0.000009,0.000009,627602337
2021-10-04,0.000009,0.000015,0.000008,0.000013,0.000013,5113996411
2021-10-05,0.000013,0.000020,0.000012,0.000017,0.000017,9382762020
2021-10-06,0.000017,0.000029,0.000017,0.000028,0.000028,15233960302
2021-10-07,0.000028,0.000035,0.000021,0.000023,0.000023,18731843000
2021-10-08,0.000023,0.000029,0.000021,0.000027,0.000027,12326548369
2021-10-09,0.000027,0.000030,0.000024,0.000027,0.000027,6401062357
2021-10-10,0.000027,0.000028,0.000025,0.000026,0.000026,3597266431
2021-10-11,0.000026,0.000032,0.000026,0.000031,0.000031,7321688785
2021-10-12,0.000031,0.000032,0.000027,0.000029,0.000029,4868743619
2021-10-13,0.000029,0.000031,0.000028,0.000029,0.000029,3082220289
2021-10-14,0.000029,0.000030,0.000027,0.000027,0.000027,2727081948
2021-10-15,0.000027,0.000027,0.000023,0.000025,0.000025,4121246428
2021-10-16,0.000025,0.000027,0.000025,0.000026,0.000026,1871226740
2021-10-17,0.000026,0.000029,0.000024,0.000028,0.000028,2304858857
2021-10-18,0.000028,0.000030,0.000026,0.000029,0.000029,3919367323
2021-10-19,0.000029,0.000029,0.000028,0.000028,0.000028,1651861422
2021-10-20,0.000028,0.000029,0.000027,0.000029,0.000029,1676016339
2021-10-21,0.000029,0.000029,0.000027,0.000027,0.000027,1540610794
2021-10-22,0.000027,0.000028,0.000027,0.000028,0.000028,1297177007
2021-10-23,0.000028,0.000035,0.000028,0.000034,0.000034,4703212108
2021-10-24,0.000034,0.000044,0.000034,0.000036,0.000036,15337292521
2021-10-25,0.000036,0.000044,0.000035,0.000042,0.000042,8244210217
2021-10-26,0.000042,0.000049,0.000041,0.000048,0.000048,11176750625
2021-10-27,0.000048,0.000087,0.000047,0.000080,0.000080,39053846018
2021-10-28,0.000079,0.000088,0.000057,0.000068,0.000068,32835212339
2021-10-29,0.000069,0.000077,0.000061,0.000075,0.000075,14287074318
2021-10-30,0.000075,0.000078,0.000062,0.000065,0.000065,8093183339
2021-10-31,0.000065,0.000070,0.000059,0.000067,0.000067,7990702699
2021-11-01,0.000067,0.000075,0.000066,0.000072,0.000072,8120747918
2021-11-02,0.000072,0.000073,0.000067,0.000069,0.000069,5316969434
2021-11-03,0.000069,0.000069,0.000053,0.000055,0.000055,6495261244
2021-11-04,0.000055,0.000061,0.000043,0.000049,0.000049,11486664527
2021-11-05,0.000049,0.000065,0.000046,0.000062,0.000062,12401211699
2021-11-06,0.000063,0.000063,0.000055,0.000059,0.000059,6445477874
2021-11-07,0.000059,0.000060,0.000056,0.000057,0.000057,3123242451
2021-11-08,0.000057,0.000059,0.000053,0.000055,0.000055,4496482335
2021-11-09,0.000055,0.000058,0.000054,0.000055,0.000055,3142625649
2021-11-10,0.000055,0.000055,0.000046,0.000050,0.000050,4318757158
2021-11-11,0.000050,0.000058,0.000049,0.000057,0.000057,5753844727
2021-11-12,0.000057,0.000057,0.000051,0.000052,0.000052,2888701214
2021-11-13,0.000052,0.000053,0.000051,0.000052,0.000052,1678572265
2021-11-14,0.000052,0.000056,0.000052,0.000053,0.000053,2504828825
2021-11-15,0.000053,0.000056,0.000052,0.000053,0.000053,2588941477
2021-11-16,0.000054,0.000054,0.000046,0.000048,0.000048,3935874227
2021-11-17,0.000048,0.000050,0.000047,0.000048,0.000048,2389403757
2021-11-18,0.000048,0.000049,0.000041,0.000042,0.000042,3495863723
2021-11-19,0.000043,0.000052,0.000042,0.000049,0.000049,4244014798
2021-11-20,0.000049,0.000050,0.000046,0.000048,0.000048,2406332845
2021-11-21,0.000048,0.000048,0.000044,0.000044,0.000044,1636858723
2021-11-22,0.000044,0.000046,0.000043,0.000043,0.000043,1806619697
2021-11-23,0.000043,0.000045,0.000041,0.000042,0.000042,1893597811
2021-11-24,0.000042,0.000043,0.000036,0.000040,0.000040,2027746049
2021-11-25,0.000038,0.000048,0.000038,0.000040,0.000040,4151282645
2021-11-26,0.000043,0.000043,0.000036,0.000038,0.000038,3770758761
2021-11-27,0.000039,0.000042,0.000038,0.000039,0.000039,2068580738
2021-11-28,0.000039,0.000040,0.000037,0.000039,0.000039,1902056544
2021-11-29,0.000039,0.000046,0.000039,0.000046,0.000046,3667758287
2021-11-30,0.000045,0.000054,0.000043,0.000047,0.000047,9568498541
2021-12-01,0.000047,0.000049,0.000044,0.000044,0.000044,3482541861
2021-12-02,0.000044,0.000044,0.000041,0.000042,0.000042,2042872233
2021-12-03,0.000042,0.000045,0.000040,0.000040,0.000040,2740977676
2021-12-04,0.000041,0.000041,0.000030,0.000037,0.000037,3873494147
2021-12-05,0.000036,0.000038,0.000034,0.000036,0.000036,2307804650
2021-12-06,0.000036,0.000038,0.000033,0.000037,0.000037,2321209665
2021-12-07,0.000037,0.000039,0.000036,0.000036,0.000036,1844522891
2021-12-08,0.000036,0.000038,0.000036,0.000037,0.000037,1257581860
2021-12-09,0.000037,0.000037,0.000034,0.000035,0.000035,1123882103
2021-12-10,0.000035,0.000036,0.000033,0.000034,0.000034,1033903140
2021-12-11,0.000034,0.000035,0.000033,0.000034,0.000034,940194089
2021-12-12,0.000034,0.000038,0.000034,0.000037,0.000037,1460048877
2021-12-13,0.000037,0.000037,0.000032,0.000033,0.000033,1464806802
2021-12-14,0.000033,0.000036,0.000033,0.000034,0.000034,1476971270
2021-12-15,0.000034,0.000034,0.000032,0.000034,0.000034,1184733848
2021-12-16,0.000034,0.000035,0.000033,0.000033,0.000033,996204378
2021-12-17,0.000033,0.000033,0.000030,0.000031,0.000031,1162002333
2021-12-18,0.000031,0.000032,0.000031,0.000031,0.000031,709723245
2021-12-19,0.000031,0.000032,0.000031,0.000031,0.000031,614447517
2021-12-20,0.000031,0.000033,0.000028,0.000031,0.000031,1811009989
2021-12-21,0.000031,0.000033,0.000031,0.000033,0.000033,1375249878
2021-12-22,0.000033,0.000038,0.000033,0.000035,0.000035,2281163530
2021-12-23,0.000035,0.000039,0.000034,0.000039,0.000039,2040585378
2021-12-24,0.000039,0.000040,0.000036,0.000036,0.000036,2060282601
2021-12-25,0.000036,0.000038,0.000036,0.000038,0.000038,1127932936
2021-12-26,0.000038,0.000039,0.000037,0.000038,0.000038,1212604991
2021-12-27,0.000038,0.000039,0.000038,0.000039,0.000039,1265319187
2021-12-28,0.000039,0.000039,0.000034,0.000035,0.000035,1817436004
2021-12-29,0.000035,0.000036,0.000033,0.000034,0.000034,1210252540
2021-12-30,0.000034,0.000034,0.000033,0.000034,0.000034,989363049
2021-12-31,0.000034,0.000035,0.000033,0.000033,0.000033,934738093
2022-01-01,0.000033,0.000034,0.000033,0.000034,0.000034,608789558
2022-01-02,0.000034,0.000034,0.000034,0.000034,0.000034,574109134
2022-01-03,0.000034,0.000034,0.000032,0.000033,0.000033,720676202
2022-01-04,0.000033,0.000033,0.000032,0.000032,0.000032,717218977
2022-01-05,0.000032,0.000033,0.000029,0.000030,0.000030,1138566779
2022-01-06,0.000030,0.000032,0.000029,0.000031,0.000031,1172523092
2022-01-07,0.000031,0.000031,0.000029,0.000029,0.000029,1169467775
2022-01-08,0.000029,0.000030,0.000027,0.000028,0.000028,1081101278
2022-01-09,0.000028,0.000029,0.000028,0.000028,0.000028,741130328
2022-01-10,0.000028,0.000029,0.000026,0.000027,0.000027,1044022667
2022-01-11,0.000027,0.000028,0.000026,0.000028,0.000028,856528185
2022-01-12,0.000028,0.000032,0.000028,0.000032,0.000032,1541810685
2022-01-13,0.000032,0.000033,0.000029,0.000030,0.000030,1435576624
2022-01-14,0.000030,0.000032,0.000029,0.000031,0.000031,1538750911
2022-01-15,0.000031,0.000031,0.000031,0.000031,0.000031,697319385
2022-01-16,0.000031,0.000031,0.000030,0.000031,0.000031,613620998
2022-01-17,0.000031,0.000031,0.000028,0.000029,0.000029,758868918
2022-01-18,0.000029,0.000029,0.000028,0.000028,0.000028,817784966
2022-01-19,0.000028,0.000028,0.000027,0.000027,0.000027,644592746
2022-01-20,0.000027,0.000029,0.000026,0.000026,0.000026,380410746
2022-01-21,0.000026,0.000027,0.000022,0.000022,0.000022,1422249920
2022-01-22,0.000022,0.000022,0.000017,0.000021,0.000021,2140529993
2022-01-23,0.000021,0.000024,0.000021,0.000022,0.000022,1957464251
2022-01-24,0.000022,0.000023,0.000019,0.000021,0.000021,1924476636
2022-01-25,0.000021,0.000022,0.000020,0.000021,0.000021,1047337942
2022-01-26,0.000021,0.000023,0.000021,0.000021,0.000021,1155008423
2022-01-27,0.000021,0.000022,0.000020,0.000021,0.000021,890469542
2022-01-28,0.000021,0.000021,0.000020,0.000021,0.000021,538455794
2022-01-29,0.000021,0.000022,0.000021,0.000022,0.000022,551033703
2022-01-30,0.000022,0.000022,0.000021,0.000021,0.000021,488342024
2022-01-31,0.000021,0.000022,0.000020,0.000021,0.000021,531285879
2022-02-01,0.000021,0.000022,0.000021,0.000022,0.000022,519254046
2022-02-02,0.000022,0.000022,0.000020,0.000021,0.000021,484518640
2022-02-03,0.000021,0.000021,0.000020,0.000021,0.000021,421850042
2022-02-04,0.000021,0.000022,0.000021,0.000022,0.000022,609855710
2022-02-05,0.000022,0.000024,0.000022,0.000023,0.000023,842566055
2022-02-06,0.000023,0.000028,0.000022,0.000028,0.000028,2156462842
2022-02-07,0.000028,0.000035,0.000027,0.000033,0.000033,4764331366
2022-02-08,0.000033,0.000035,0.000030,0.000031,0.000031,3618590002
2022-02-09,0.000031,0.000034,0.000031,0.000033,0.000033,2365650708
2022-02-10,0.000033,0.000034,0.000031,0.000031,0.000031,2546459745
2022-02-11,0.000031,0.000032,0.000028,0.000029,0.000029,2012806768
2022-02-12,0.000029,0.000030,0.000028,0.000029,0.000029,1683120664
2022-02-13,0.000029,0.000032,0.000029,0.000030,0.000030,2065365631
2022-02-14,0.000030,0.000031,0.000029,0.000030,0.000030,1558119657
2022-02-15,0.000030,0.000032,0.000030,0.000031,0.000031,1602354887
2022-02-16,0.000031,0.000031,0.000030,0.000031,0.000031,1350071541
2022-02-17,0.000031,0.000032,0.000028,0.000028,0.000028,2067544526
2022-02-18,0.000028,0.000030,0.000028,0.000028,0.000028,1458694142
2022-02-19,0.000028,0.000029,0.000027,0.000028,0.000028,929189862
2022-02-20,0.000028,0.000028,0.000025,0.000026,0.000026,1235841144
2022-02-21,0.000026,0.000027,0.000024,0.000024,0.000024,2001180593
2022-02-22,0.000024,0.000025,0.000023,0.000025,0.000025,1524043647
2022-02-23,0.000025,0.000027,0.000025,0.000025,0.000025,1728129985
2022-02-24,0.000025,0.000025,0.000021,0.000024,0.000024,3275038601
2022-02-25,0.000024,0.000025,0.000023,0.000025,0.000025,1740381961
2022-02-26,0.000025,0.000026,0.000024,0.000024,0.000024,1099351580
2022-02-27,0.000024,0.000025,0.000023,0.000023,0.000023,1217089606
2022-02-28,0.000023,0.000026,0.000023,0.000026,0.000026,1513953706
2022-03-01,0.000026,0.000028,0.000025,0.000027,0.000027,2075874028
2022-03-02,0.000027,0.000027,0.000026,0.000026,0.000026,1396864024
2022-03-03,0.000026,0.000026,0.000025,0.000025,0.000025,963213922
2022-03-04,0.000025,0.000025,0.000023,0.000024,0.000024,977852640
2022-03-05,0.000024,0.000025,0.000023,0.000025,0.000025,722836004
2022-03-06,0.000025,0.000025,0.000023,0.000024,0.000024,639453988
2022-03-07,0.000024,0.000024,0.000022,0.000023,0.000023,877141756
2022-03-08,0.000023,0.000023,0.000023,0.000023,0.000023,703855373
2022-03-09,0.000023,0.000024,0.000023,0.000024,0.000024,951434921
2022-03-10,0.000024,0.000024,0.000022,0.000023,0.000023,818094363
2022-03-11,0.000023,0.000023,0.000022,0.000022,0.000022,748848965
2022-03-12,0.000022,0.000023,0.000022,0.000022,0.000022,438871956
2022-03-13,0.000022,0.000023,0.000021,0.000022,0.000022,660720467
2022-03-14,0.000022,0.000022,0.000021,0.000022,0.000022,632243876
2022-03-15,0.000022,0.000022,0.000021,0.000022,0.000022,640514222
2022-03-16,0.000022,0.000023,0.000022,0.000023,0.000023,841713079
2022-03-17,0.000023,0.000023,0.000022,0.000022,0.000022,594487997
2022-03-18,0.000022,0.000023,0.000022,0.000022,0.000022,696479699
2022-03-19,0.000022,0.000025,0.000022,0.000024,0.000024,1912871449
2022-03-20,0.000024,0.000024,0.000023,0.000023,0.000023,1176567440
2022-03-21,0.000023,0.000023,0.000022,0.000023,0.000023,746003820
2022-03-22,0.000023,0.000024,0.000023,0.000023,0.000023,987790840
2022-03-23,0.000023,0.000025,0.000023,0.000024,0.000024,1272114432
2022-03-24,0.000024,0.000025,0.000024,0.000025,0.000025,1339708814
2022-03-25,0.000025,0.000025,0.000024,0.000024,0.000024,906531254
2022-03-26,0.000024,0.000025,0.000024,0.000024,0.000024,472902729
2022-03-27,0.000024,0.000026,0.000024,0.000026,0.000026,792774798
2022-03-28,0.000026,0.000029,0.000025,0.000026,0.000026,3561607258
2022-03-29,0.000026,0.000028,0.000026,0.000027,0.000027,2063838416
2022-03-30,0.000027,0.000028,0.000026,0.000027,0.000027,1629913880
2022-03-31,0.000027,0.000028,0.000026,0.000026,0.000026,1418516436
2022-04-01,0.000026,0.000026,0.000025,0.000026,0.000026,1141763445
2022-04-02,0.000026,0.000027,0.000026,0.000026,0.000026,1189366972
2022-04-03,0.000026,0.000027,0.000026,0.000027,0.000027,918512393
2022-04-04,0.000027,0.000027,0.000026,0.000026,0.000026,1101356399
2022-04-05,0.000026,0.000028,0.000026,0.000027,0.000027,1507483085
2022-04-06,0.000027,0.000027,0.000024,0.000024,0.000024,1296200471
2022-04-07,0.000024,0.000025,0.000024,0.000025,0.000025,687645596
2022-04-08,0.000025,0.000025,0.000024,0.000024,0.000024,624386355
2022-04-09,0.000024,0.000025,0.000024,0.000025,0.000025,456283801
2022-04-10,0.000025,0.000025,0.000024,0.000025,0.000025,683926475
2022-04-11,0.000025,0.000025,0.000022,0.000022,0.000022,739648605
2022-04-12,0.000022,0.000030,0.000022,0.000027,0.000027,3927623558
2022-04-13,0.000027,0.000028,0.000026,0.000027,0.000027,2032682825
2022-04-14,0.000027,0.000027,0.000025,0.000026,0.000026,1152162515
2022-04-15,0.000026,0.000026,0.000026,0.000026,0.000026,464520286
2022-04-16,0.000026,0.000026,0.000025,0.000026,0.000026,338664091
2022-04-17,0.000026,0.000026,0.000025,0.000025,0.000025,420838842
2022-04-18,0.000025,0.000025,0.000024,0.000025,0.000025,713137006
2022-04-19,0.000025,0.000026,0.000025,0.000025,0.000025,514266085
2022-04-20,0.000025,0.000026,0.000025,0.000025,0.000025,628811523
2022-04-21,0.000025,0.000025,0.000024,0.000024,0.000024,520836111
2022-04-22,0.000024,0.000025,0.000024,0.000024,0.000024,431642746
2022-04-23,0.000024,0.000025,0.000024,0.000024,0.000024,341880954
2022-04-24,0.000024,0.000024,0.000024,0.000024,0.000024,328056265
2022-04-25,0.000024,0.000025,0.000022,0.000024,0.000024,1200258088
2022-04-26,0.000024,0.000025,0.000023,0.000023,0.000023,729940767
2022-04-27,0.000023,0.000024,0.000023,0.000023,0.000023,650386644
2022-04-28,0.000023,0.000023,0.000023,0.000023,0.000023,472878759
2022-04-29,0.000023,0.000023,0.000022,0.000022,0.000022,677823796
2022-04-30,0.000022,0.000022,0.000019,0.000020,0.000020,818405640
2022-05-01,0.000020,0.000022,0.000020,0.000022,0.000022,848056380
2022-05-02,0.000022,0.000022,0.000020,0.000021,0.000021,592820970
2022-05-03,0.000021,0.000021,0.000020,0.000020,0.000020,403376379
2022-05-04,0.000020,0.000022,0.000020,0.000022,0.000022,636180875
2022-05-05,0.000022,0.000022,0.000020,0.000020,0.000020,713051913
2022-05-06,0.000020,0.000020,0.000020,0.000020,0.000020,585924268
2022-05-07,0.000020,0.000020,0.000019,0.000019,0.000019,423936667
2022-05-08,0.000019,0.000019,0.000018,0.000018,0.000018,537073562
2022-05-09,0.000018,0.000019,0.000014,0.000014,0.000014,1391408513
2022-05-10,0.000014,0.000018,0.000014,0.000016,0.000016,1923105329
2022-05-11,0.000016,0.000017,0.000011,0.000012,0.000012,1583801209
2022-05-12,0.000012,0.000013,0.000009,0.000011,0.000011,1412033424
2022-05-13,0.000011,0.000014,0.000011,0.000013,0.000013,1436004010
2022-05-14,0.000013,0.000014,0.000012,0.000013,0.000013,821428365
2022-05-15,0.000013,0.000013,0.000012,0.000013,0.000013,476871904
2022-05-16,0.000013,0.000013,0.000012,0.000012,0.000012,470716635
2022-05-17,0.000012,0.000013,0.000012,0.000013,0.000013,502026876
2022-05-18,0.000013,0.000013,0.000012,0.000012,0.000012,447213809
2022-05-19,0.000012,0.000012,0.000011,0.000012,0.000012,428502212
2022-05-20,0.000012,0.000012,0.000011,0.000012,0.000012,318906896
2022-05-21,0.000012,0.000012,0.000011,0.000012,0.000012,269090360
2022-05-22,0.000012,0.000012,0.000012,0.000012,0.000012,346543992
2022-05-23,0.000012,0.000013,0.000012,0.000012,0.000012,684387210
2022-05-24,0.000012,0.000012,0.000011,0.000012,0.000012,338191313
2022-05-25,0.000012,0.000012,0.000012,0.000012,0.000012,270410751
2022-05-26,0.000012,0.000012,0.000010,0.000011,0.000011,470812067
2022-05-27,0.000011,0.000011,0.000010,0.000010,0.000010,405412906
2022-05-28,0.000011,0.000011,0.000010,0.000011,0.000011,231462555
2022-05-29,0.000011,0.000012,0.000011,0.000012,0.000012,419949041
2022-05-30,0.000012,0.000012,0.000011,0.000012,0.000012,635871505
2022-05-31,0.000012,0.000012,0.000012,0.000012,0.000012,475903019
2022-06-01,0.000012,0.000012,0.000011,0.000011,0.000011,428977853
2022-06-02,0.000011,0.000011,0.000011,0.000011,0.000011,295981470
2022-06-03,0.000011,0.000011,0.000011,0.000011,0.000011,255259560
2022-06-04,0.000011,0.000011,0.000011,0.000011,0.000011,176261542
2022-06-05,0.000011,0.000011,0.000011,0.000011,0.000011,175363152
2022-06-06,0.000011,0.000011,0.000011,0.000011,0.000011,299560801
2022-06-07,0.000011,0.000011,0.000010,0.000011,0.000011,344739034
2022-06-08,0.000011,0.000011,0.000011,0.000011,0.000011,228040184
2022-06-09,0.000011,0.000011,0.000010,0.000011,0.000011,384640508
2022-06-10,0.000011,0.000011,0.000010,0.000010,0.000010,241095707
2022-06-11,0.000010,0.000010,0.000009,0.000009,0.000009,347009991
2022-06-12,0.000009,0.000009,0.000008,0.000009,0.000009,468217434
2022-06-13,0.000009,0.000009,0.000007,0.000008,0.000008,665964700
2022-06-14,0.000008,0.000008,0.000008,0.000008,0.000008,478277756
2022-06-15,0.000008,0.000009,0.000008,0.000009,0.000009,514356384
2022-06-16,0.000009,0.000009,0.000008,0.000008,0.000008,343758214
2022-06-17,0.000008,0.000008,0.000008,0.000008,0.000008,210833181
2022-06-18,0.000008,0.000008,0.000007,0.000008,0.000008,304500488
2022-06-19,0.000008,0.000008,0.000007,0.000008,0.000008,310911208
2022-06-20,0.000008,0.000008,0.000008,0.000008,0.000008,247862112
2022-06-21,0.000008,0.000012,0.000008,0.000011,0.000011,1578164594
2022-06-22,0.000011,0.000011,0.000009,0.000010,0.000010,1212245866
2022-06-23,0.000010,0.000010,0.000010,0.000010,0.000010,679449485
2022-06-24,0.000010,0.000011,0.000010,0.000011,0.000011,804722625
2022-06-25,0.000011,0.000012,0.000011,0.000012,0.000012,926458281
2022-06-26,0.000012,0.000012,0.000011,0.000011,0.000011,647639113
2022-06-27,0.000011,0.000012,0.000011,0.000011,0.000011,524506475
2022-06-28,0.000011,0.000011,0.000010,0.000010,0.000010,472570140
2022-06-29,0.000010,0.000011,0.000010,0.000010,0.000010,582310241
2022-06-30,0.000010,0.000010,0.000010,0.000010,0.000010,604730096
2022-07-01,0.000010,0.000011,0.000010,0.000010,0.000010,423518491
2022-07-02,0.000010,0.000010,0.000010,0.000010,0.000010,220131113
2022-07-03,0.000010,0.000010,0.000010,0.000010,0.000010,204381631
2022-07-04,0.000010,0.000011,0.000010,0.000010,0.000010,289253382
2022-07-05,0.000010,0.000011,0.000010,0.000010,0.000010,462032913
2022-07-06,0.000010,0.000011,0.000010,0.000010,0.000010,317999228
2022-07-07,0.000010,0.000011,0.000010,0.000011,0.000011,454333295
2022-07-08,0.000011,0.000012,0.000011,0.000011,0.000011,586643040
2022-07-09,0.000011,0.000012,0.000011,0.000012,0.000012,419470972
2022-07-10,0.000012,0.000012,0.000011,0.000011,0.000011,337983053
2022-07-11,0.000011,0.000011,0.000010,0.000010,0.000010,332271712
2022-07-12,0.000010,0.000011,0.000010,0.000010,0.000010,287884681
2022-07-13,0.000010,0.000011,0.000010,0.000011,0.000011,375466274
2022-07-14,0.000011,0.000011,0.000010,0.000011,0.000011,316823106
2022-07-15,0.000011,0.000011,0.000011,0.000011,0.000011,357658131
2022-07-16,0.000011,0.000011,0.000011,0.000011,0.000011,280242047
2022-07-17,0.000011,0.000011,0.000011,0.000011,0.000011,259125727
2022-07-18,0.000011,0.000012,0.000011,0.000012,0.000012,831610865
2022-07-19,0.000012,0.000012,0.000011,0.000012,0.000012,781843830
2022-07-20,0.000012,0.000013,0.000012,0.000012,0.000012,991060912
2022-07-21,0.000012,0.000012,0.000012,0.000012,0.000012,532904234
2022-07-22,0.000012,0.000012,0.000012,0.000012,0.000012,451101879
2022-07-23,0.000012,0.000012,0.000011,0.000012,0.000012,379227119
2022-07-24,0.000012,0.000012,0.000012,0.000012,0.000012,288641414
2022-07-25,0.000012,0.000012,0.000011,0.000011,0.000011,379432978
2022-07-26,0.000011,0.000011,0.000010,0.000011,0.000011,342257533
2022-07-27,0.000011,0.000011,0.000011,0.000011,0.000011,497164432
2022-07-28,0.000011,0.000012,0.000011,0.000012,0.000012,675002934
2022-07-29,0.000012,0.000012,0.000011,0.000012,0.000012,576891148
2022-07-30,0.000012,0.000013,0.000012,0.000012,0.000012,683137653
2022-07-31,0.000012,0.000012,0.000012,0.000012,0.000012,421765443
2022-08-01,0.000012,0.000013,0.000012,0.000012,0.000012,616917563
2022-08-02,0.000012,0.000012,0.000012,0.000012,0.000012,395081060
2022-08-03,0.000012,0.000012,0.000012,0.000012,0.000012,317439052
2022-08-04,0.000012,0.000012,0.000012,0.000012,0.000012,301914202
2022-08-05,0.000012,0.000012,0.000012,0.000012,0.000012,337423841
2022-08-06,0.000012,0.000012,0.000012,0.000012,0.000012,278723005
2022-08-07,0.000012,0.000012,0.000012,0.000012,0.000012,225119696
2022-08-08,0.000012,0.000013,0.000012,0.000012,0.000012,553334119
2022-08-09,0.000012,0.000013,0.000012,0.000012,0.000012,590838988
2022-08-10,0.000012,0.000012,0.000012,0.000012,0.000012,418731355
2022-08-11,0.000012,0.000013,0.000012,0.000012,0.000012,496656656
2022-08-12,0.000012,0.000013,0.000012,0.000013,0.000013,331254898
2022-08-13,0.000013,0.000013,0.000013,0.000013,0.000013,350167369
2022-08-14,0.000013,0.000018,0.000013,0.000017,0.000017,3873103860
2022-08-15,0.000017,0.000017,0.000015,0.000015,0.000015,2327359499
2022-08-16,0.000015,0.000016,0.000015,0.000016,0.000016,1302891507
2022-08-17,0.000016,0.000016,0.000015,0.000015,0.000015,1047374797
2022-08-18,0.000015,0.000015,0.000014,0.000014,0.000014,557409408
2022-08-19,0.000014,0.000014,0.000013,0.000013,0.000013,1128117927
2022-08-20,0.000013,0.000014,0.000013,0.000013,0.000013,745673615
2022-08-21,0.000013,0.000014,0.000013,0.000013,0.000013,432719644
2022-08-22,0.000013,0.000013,0.000013,0.000013,0.000013,447215233
2022-08-23,0.000013,0.000013,0.000013,0.000013,0.000013,401297299
2022-08-24,0.000013,0.000013,0.000013,0.000013,0.000013,397540278
2022-08-25,0.000013,0.000015,0.000013,0.000014,0.000014,959400151
2022-08-26,0.000014,0.000014,0.000012,0.000012,0.000012,819192697
2022-08-27,0.000012,0.000013,0.000012,0.000012,0.000012,437249950
2022-08-28,0.000012,0.000012,0.000012,0.000012,0.000012,328030702
2022-08-29,0.000012,0.000013,0.000012,0.000012,0.000012,393463237
2022-08-30,0.000012,0.000013,0.000012,0.000012,0.000012,378833439
2022-08-31,0.000012,0.000013,0.000012,0.000012,0.000012,290944041
2022-09-01,0.000012,0.000012,0.000012,0.000012,0.000012,284561703
2022-09-02,0.000012,0.000012,0.000012,0.000012,0.000012,295889011
2022-09-03,0.000012,0.000012,0.000012,0.000012,0.000012,219322329
2022-09-04,0.000012,0.000013,0.000012,0.000013,0.000013,553998915
2022-09-05,0.000013,0.000013,0.000012,0.000013,0.000013,322249006
2022-09-06,0.000013,0.000013,0.000012,0.000012,0.000012,502320543
2022-09-07,0.000012,0.000012,0.000012,0.000012,0.000012,322581607
2022-09-08,0.000012,0.000012,0.000012,0.000012,0.000012,323307668
2022-09-09,0.000012,0.000014,0.000012,0.000013,0.000013,906904715
2022-09-10,0.000013,0.000013,0.000013,0.000013,0.000013,650509216
2022-09-11,0.000013,0.000013,0.000013,0.000013,0.000013,539982450
2022-09-12,0.000013,0.000013,0.000013,0.000013,0.000013,502161292
2022-09-13,0.000013,0.000013,0.000012,0.000012,0.000012,455179755
2022-09-14,0.000012,0.000012,0.000012,0.000012,0.000012,323663527
2022-09-15,0.000012,0.000012,0.000012,0.000012,0.000012,321682028
2022-09-16,0.000012,0.000012,0.000011,0.000012,0.000012,240124971
2022-09-17,0.000012,0.000012,0.000012,0.000012,0.000012,191744549
2022-09-18,0.000012,0.000012,0.000010,0.000011,0.000011,277027590
2022-09-19,0.000011,0.000011,0.000011,0.000011,0.000011,346595419
